Показник,Територіальний розріз,Напрям природоохоронної діяльності,Вид економічної діяльності,Періодичність,Період,Значення cпостереження
Капітальні інвестиції на охорону навколишнього природного середовища,Вінницька,Науково-дослідні роботи природоохоронного спрямування,Усього,Річна,2025,25000.0
Капітальні інвестиції на охорону навколишнього природного середовища,Вінницька,Охорона атмосферного повітря і проблеми зміни клімату,Усього,Річна,2021,1302700.0
Капітальні інвестиції на охорону навколишнього природного середовища,Вінницька,Охорона атмосферного повітря і проблеми зміни клімату,Усього,Річна,2022,17372000.0
Капітальні інвестиції на охорону навколишнього природного середовища,Вінницька,Охорона атмосферного повітря і проблеми зміни клімату,Усього,Річна,2023,5050900.0
Капітальні інвестиції на охорону навколишнього природного середовища,Вінницька,Охорона атмосферного повітря і проблеми зміни клімату,Усього,Річна,2024,842200.0
Капітальні інвестиції на охорону навколишнього природного середовища,Вінницька,Охорона атмосферного повітря і проблеми зміни клімату,Усього,Річна,2025,4535200.0
Капітальні інвестиції на охорону навколишнього природного середовища,Вінницька,Зниження шумового та вібраційного впливу,Усього,Річна,2021,7493800.0
Капітальні інвестиції на охорону навколишнього природного середовища,Вінницька,Зниження шумового та вібраційного впливу,Усього,Річна,2022,425600.0
Капітальні інвестиції на охорону навколишнього природного середовища,Вінницька,Зниження шумового та вібраційного впливу,Усього,Річна,2023,259100.00000000003
Капітальні інвестиції на охорону навколишнього природного середовища,Вінницька,Зниження шумового та вібраційного впливу,Усього,Річна,2024,93300.0
Капітальні інвестиції на охорону навколишнього природного середовища,Вінницька,Зниження шумового та вібраційного впливу,Усього,Річна,2025,18500.0
Капітальні інвестиції на охорону навколишнього природного середовища,Вінницька,Збереження біорізноманіття та середовища існування,Усього,Річна,2021,4815100.0
Капітальні інвестиції на охорону навколишнього природного середовища,Вінницька,Збереження біорізноманіття та середовища існування,Усього,Річна,2025,77800.0
Капітальні інвестиції на охорону навколишнього природного середовища,Вінницька,"Захист і реабілітацію ґрунту, підземних  і поверхневих вод",Усього,Річна,2021,1524400.0
Капітальні інвестиції на охорону навколишнього природного середовища,Вінницька,"Захист і реабілітацію ґрунту, підземних  і поверхневих вод",Усього,Річна,2022,12400.0
Капітальні інвестиції на охорону навколишнього природного середовища,Вінницька,"Захист і реабілітацію ґрунту, підземних  і поверхневих вод",Усього,Річна,2024,238400.0
Капітальні інвестиції на охорону навколишнього природного середовища,Вінницька,Поводження з відходами,Усього,Річна,2021,28512000.0
Капітальні інвестиції на охорону навколишнього природного середовища,Вінницька,Поводження з відходами,Усього,Річна,2022,30201500.0
Капітальні інвестиції на охорону навколишнього природного середовища,Вінницька,Поводження з відходами,Усього,Річна,2023,3200.0
Капітальні інвестиції на охорону навколишнього природного середовища,Вінницька,Поводження з відходами,Усього,Річна,2025,840500.0
Капітальні інвестиції на охорону навколишнього природного середовища,Вінницька,Очищення зворотних вод,Усього,Річна,2021,6851800.0
Капітальні інвестиції на охорону навколишнього природного середовища,Вінницька,Очищення зворотних вод,Усього,Річна,2022,2211300.0
Капітальні інвестиції на охорону навколишнього природного середовища,Вінницька,Очищення зворотних вод,Усього,Річна,2023,651800.0
Капітальні інвестиції на охорону навколишнього природного середовища,Вінницька,Очищення зворотних вод,Усього,Річна,2024,171860400.0
Капітальні інвестиції на охорону навколишнього природного середовища,Вінницька,Очищення зворотних вод,Усього,Річна,2025,271690600.0
Капітальні інвестиції на охорону навколишнього природного середовища,Волинська,Збереження біорізноманіття та середовища існування,Усього,Річна,2021,5661400.0
Капітальні інвестиції на охорону навколишнього природного середовища,Волинська,Збереження біорізноманіття та середовища існування,Усього,Річна,2022,3737000.0
Капітальні інвестиції на охорону навколишнього природного середовища,Волинська,Збереження біорізноманіття та середовища існування,Усього,Річна,2023,707700.0
Капітальні інвестиції на охорону навколишнього природного середовища,Волинська,Збереження біорізноманіття та середовища існування,Усього,Річна,2024,180400.0
Капітальні інвестиції на охорону навколишнього природного середовища,Волинська,Збереження біорізноманіття та середовища існування,Усього,Річна,2025,562800.0
Капітальні інвестиції на охорону навколишнього природного середовища,Волинська,Очищення зворотних вод,Усього,Річна,2021,13914200.0
Капітальні інвестиції на охорону навколишнього природного середовища,Волинська,Очищення зворотних вод,Усього,Річна,2022,19344800.0
Капітальні інвестиції на охорону навколишнього природного середовища,Волинська,Очищення зворотних вод,Усього,Річна,2023,44377900.0
Капітальні інвестиції на охорону навколишнього природного середовища,Волинська,Очищення зворотних вод,Усього,Річна,2024,106087700.0
Капітальні інвестиції на охорону навколишнього природного середовища,Волинська,Очищення зворотних вод,Усього,Річна,2025,62137300.0
Капітальні інвестиції на охорону навколишнього природного середовища,Волинська,Інші напрями природоохоронної діяльності,Усього,Річна,2021,78000.0
Капітальні інвестиції на охорону навколишнього природного середовища,Волинська,Інші напрями природоохоронної діяльності,Усього,Річна,2022,127000.0
Капітальні інвестиції на охорону навколишнього природного середовища,Волинська,Зниження шумового та вібраційного впливу,Усього,Річна,2022,3971000.0
Капітальні інвестиції на охорону навколишнього природного середовища,Волинська,Зниження шумового та вібраційного впливу,Усього,Річна,2023,3662700.0
Капітальні інвестиції на охорону навколишнього природного середовища,Волинська,Зниження шумового та вібраційного впливу,Усього,Річна,2024,2290600.0
Капітальні інвестиції на охорону навколишнього природного середовища,Волинська,Поводження з відходами,Усього,Річна,2021,8339299.999999999
Капітальні інвестиції на охорону навколишнього природного середовища,Волинська,Поводження з відходами,Усього,Річна,2022,14028300.0
Капітальні інвестиції на охорону навколишнього природного середовища,Волинська,Поводження з відходами,Усього,Річна,2023,25558500.0
Капітальні інвестиції на охорону навколишнього природного середовища,Волинська,Поводження з відходами,Усього,Річна,2024,14224200.0
Капітальні інвестиції на охорону навколишнього природного середовища,Волинська,Поводження з відходами,Усього,Річна,2025,44935600.0
Капітальні інвестиції на охорону навколишнього природного середовища,Волинська,Охорона атмосферного повітря і проблеми зміни клімату,Усього,Річна,2021,2165400.0
Капітальні інвестиції на охорону навколишнього природного середовища,Волинська,Охорона атмосферного повітря і проблеми зміни клімату,Усього,Річна,2022,6146500.0
Капітальні інвестиції на охорону навколишнього природного середовища,Волинська,Охорона атмосферного повітря і проблеми зміни клімату,Усього,Річна,2023,4222200.0
Капітальні інвестиції на охорону навколишнього природного середовища,Волинська,Охорона атмосферного повітря і проблеми зміни клімату,Усього,Річна,2024,55652600.0
Капітальні інвестиції на охорону навколишнього природного середовища,Волинська,Охорона атмосферного повітря і проблеми зміни клімату,Усього,Річна,2025,41411000.0
Капітальні інвестиції на охорону навколишнього природного середовища,Волинська,"Захист і реабілітацію ґрунту, підземних  і поверхневих вод",Усього,Річна,2022,219700.0
Капітальні інвестиції на охорону навколишнього природного середовища,Волинська,"Захист і реабілітацію ґрунту, підземних  і поверхневих вод",Усього,Річна,2023,54000.0
Капітальні інвестиції на охорону навколишнього природного середовища,Волинська,"Захист і реабілітацію ґрунту, підземних  і поверхневих вод",Усього,Річна,2024,45000.0
Капітальні інвестиції на охорону навколишнього природного середовища,Волинська,"Захист і реабілітацію ґрунту, підземних  і поверхневих вод",Усього,Річна,2025,213500.0
Капітальні інвестиції на охорону навколишнього природного середовища,Дніпропетровська,Очищення зворотних вод,Усього,Річна,2021,79958800.0
Капітальні інвестиції на охорону навколишнього природного середовища,Дніпропетровська,Очищення зворотних вод,Усього,Річна,2022,55262100.0
Капітальні інвестиції на охорону навколишнього природного середовища,Дніпропетровська,Очищення зворотних вод,Усього,Річна,2023,100794300.0
Капітальні інвестиції на охорону навколишнього природного середовища,Дніпропетровська,Очищення зворотних вод,Усього,Річна,2024,53217500.0
Капітальні інвестиції на охорону навколишнього природного середовища,Дніпропетровська,Очищення зворотних вод,Усього,Річна,2025,83835800.0
Капітальні інвестиції на охорону навколишнього природного середовища,Дніпропетровська,Інші напрями природоохоронної діяльності,Усього,Річна,2021,2853900.0
Капітальні інвестиції на охорону навколишнього природного середовища,Дніпропетровська,Інші напрями природоохоронної діяльності,Усього,Річна,2022,1020900.0
Капітальні інвестиції на охорону навколишнього природного середовища,Дніпропетровська,Інші напрями природоохоронної діяльності,Усього,Річна,2023,564600.0
Капітальні інвестиції на охорону навколишнього природного середовища,Дніпропетровська,Інші напрями природоохоронної діяльності,Усього,Річна,2024,1217800.0
Капітальні інвестиції на охорону навколишнього природного середовища,Дніпропетровська,Інші напрями природоохоронної діяльності,Усього,Річна,2025,1846800.0
Капітальні інвестиції на охорону навколишнього природного середовища,Дніпропетровська,Збереження біорізноманіття та середовища існування,Усього,Річна,2021,5143200.0
Капітальні інвестиції на охорону навколишнього природного середовища,Дніпропетровська,Збереження біорізноманіття та середовища існування,Усього,Річна,2022,100000.0
Капітальні інвестиції на охорону навколишнього природного середовища,Дніпропетровська,Збереження біорізноманіття та середовища існування,Усього,Річна,2023,58000.0
Капітальні інвестиції на охорону навколишнього природного середовища,Дніпропетровська,Збереження біорізноманіття та середовища існування,Усього,Річна,2024,102500.0
Капітальні інвестиції на охорону навколишнього природного середовища,Дніпропетровська,Збереження біорізноманіття та середовища існування,Усього,Річна,2025,227700.0
